"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","Min","G","A","KP","AFKG","APKG","SOT","TkW","DIS","YC","RC","ACNC","Int","CLR","CoS","BS","AER","PKM","PKD","OG","GAO","CS"
"*05uhs*","James Mcatee","MCI","M","499","FA","AVL 2<br/>@MCI 3 F","0.5","0.25","3%","-1%","2","16","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","1","0","0","0","0","0"
"*05w9n*","Alex Kral","WHU","M","498","FA","WHU 1<br/>@BHA 3 F","0.5","0.5","0%","0%","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"*051wl*","Wesley","AVL","F","500","FA","AVL 2<br/>@MCI 3 F","0.5","0.5","0%","0%","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"*05y2h*","Sonny Perkins","WHU","M","501","FA","WHU 1<br/>@BHA 3 F","0.5","0.5","0%","0%","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"*05m9r*","Ellis Simms","EVE","F","502","FA","EVE 1<br/>@ARS 5 F","0.5","0.5","0%","0%","1","61","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","2","0","0","0","0","1"
"*052h4*","Dominic Thompson","BRF","D","503","FA","LEE 2<br/>@BRF 1 F","0.25","0.12","0%","0%","2","146","0","0","0","0","0","0","0","0","0","0","0","2","3","0","2","1","0","0","0","3","0"
"*05opj*","Elliot Anderson","NEW","M","511","FA","NEW 2<br/>@BUR 1 F","0","0","99%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05r34*","Amad Diallo","MUN","F","571","FA","MUN 0<br/>@CRY 1 F","0","0","95%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05y9n*","Lewis Hall","CHE","M","601","FA","WAT 1<br/>@CHE 2 F","0","0","77%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04lav*","Ethan Ampadu","CHE","D","510","FA","WAT 1<br/>@CHE 2 F","0","0","58%","-5%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05raa*","Hugo Bueno","WOL","D","545","FA","WOL 1<br/>@LIV 3 F","0","0","54%","-1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05ubv*","Omari Hutchinson","ARS","M","611","FA","EVE 1<br/>@ARS 5 F","0","0","37%","-5%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060wh*","Alejandro Garnacho","MUN","M","589","FA","MUN 0<br/>@CRY 1 F","0","0","28%","-1%","2","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05ye7*","Oscar Bobb","MCI","M","538","FA","AVL 2<br/>@MCI 3 F","0","0","26%","+4%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05l27*","Jarrad Branthwaite","EVE","D","542","FA","EVE 1<br/>@ARS 5 F","0","0","23%","-1%","6","386","1","0","0","0","0","2","1","1","0","1","0","1","20","1","2","11","0","0","0","14","0"
"*05uhj*","Conor Bradley","LIV","M","541","FA","WOL 1<br/>@LIV 3 F","0","0","21%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05y9l*","Xavier Simons","CHE","M","710","FA","WAT 1<br/>@CHE 2 F","0","0","4%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05y7c*","Archie Gray","LEE","M","597","FA","LEE 2<br/>@BRF 1 F","0","0","4%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
