"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","GS","Min","G","A","A2","KP","AF","SOT","SOP","TkW","TLM","DIS","FS","YC","RC","ACNC","Int","IntB","CLR","CoS","BS","AER","PKM","PKD","OG","GAO","MCS"
"*05os9*","Thomas Partey","ARS","M","110","RK U8","WOL 0<br/>@ARS 5 F","247.25","7.49","0%","0%","33","28","2,474","3","0","0","26","0","4","1","40","0","19","23","5","0","2","28","2","39","34","5","37","0","0","0","28","1,036"
"*0639x*","Marcus Tavernier","BOU","M","111","j.l.","BOU 0<br/>@EVE 1 F","245.36","10.67","98%","0%","23","19","1,737","5","4","0","19","0","15","0","22","0","40","28","1","0","11","9","0","17","44","4","17","0","0","0","37","528"
"*03rxa*","Idrissa Gueye","EVE","M","112","AUTO REL","BOU 0<br/>@EVE 1 F","244.95","7.42","19%","-4%","33","32","2,575","0","1","0","12","0","6","0","57","0","18","50","7","0","0","56","2","31","17","12","27","0","0","0","45","716"
"*037mt*","Harrison Reed","FUL","M","113","FA","FUL 1<br/>@MUN 2 F","244.77","6.62","0%","0%","37","35","2,858","3","4","0","35","0","8","0","27","0","25","22","5","0","12","19","2","30","10","12","30","0","0","1","44","790"
"*04fk6*","Bernardo Silva","MCI","M","114","AUTO REL","MCI 0<br/>@BRF 1 F","242.31","7.13","94%","0%","34","24","2,186","4","5","1","31","1","10","0","23","0","31","15","5","0","13","16","0","6","26","6","4","0","1","0","24","636"
"*02lnx*","Danny Welbeck","BHA","F","116","FA","BHA 1<br/>@AVL 2 F","236.25","7.62","89%","+1%","31","21","1,833","6","3","0","30","2","23","1","7","0","23","18","0","0","0","5","1","20","18","2","32","0","1","0","28","701"
"*0646f*","Alexander Isak","NEW","F","117","thomas","NEW 1<br/>@CHE 1 F","233.5","10.61","90%","-3%","22","17","1,508","10","1","0","16","1","25","1","8","0","25","15","3","0","1","4","0","8","32","2","23","0","1","0","20","295"
"*04yey*","Max Kilman","WOL","D","118","RK U8","WOL 0<br/>@ARS 5 F","233.46","6.31","19%","0%","37","37","3,307","0","0","0","4","1","1","1","20","0","9","12","3","0","2","19","2","163","18","42","86","0","0","0","56","990"
"*03dyl*","Jeffrey Schlupp","CRY","M","119","FA","NOT 1<br/>@CRY 1 F","233.44","6.87","0%","0%","34","30","2,523","3","1","0","18","1","9","1","46","0","33","33","7","0","1","23","3","35","29","8","26","0","0","0","38","648"
"*061z4*","Marc Roca","LEE","M","120","AUTO REL","TOT 4<br/>@LEE 1 F","233.04","7.28","0%","0%","32","29","2,312","1","2","0","33","1","13","0","40","0","26","29","7","0","4","23","1","23","17","10","19","0","0","0","60","251"
